Lampe_Signal_0_at_679.99nm_cut_at_1286.00Y_01.dat
24.01.2024
11:22:56
cut middle at Y: 1286.00
top cursor: 1345 down cursor: 1227 mean of: 118 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
639.635	352.525
639.763	354.415
639.891	357.475
640.019	359.636
640.147	354.017
640.275	357.924
640.403	356.754
640.531	358.263
640.660	353.068
640.788	356.390
640.916	353.042
641.044	357.678
641.172	350.924
641.300	356.898
641.428	350.686
641.556	356.568
641.685	353.602
641.813	350.881
641.941	354.186
642.069	352.898
642.197	353.025
642.325	352.229
642.453	354.890
642.581	355.271
642.710	352.780
642.838	355.983
642.966	352.093
643.094	353.441
643.222	351.042
643.350	347.898
643.478	348.966
643.606	352.492
643.735	348.983
643.863	351.500
643.991	350.559
644.119	347.093
644.247	348.415
644.375	350.042
644.503	349.585
644.631	348.669
644.760	350.068
644.888	349.831
645.016	347.695
645.144	350.695
645.272	350.042
645.400	348.356
645.528	348.500
645.656	343.051
645.785	349.407
645.913	348.339
646.041	347.992
646.169	344.169
646.297	342.144
646.425	342.195
646.553	341.042
646.681	342.415
646.810	343.763
646.938	344.466
647.066	339.254
647.194	341.203
647.322	340.720
647.450	337.822
647.578	342.517
647.706	344.881
647.835	343.008
647.963	339.695
648.091	338.542
648.219	336.305
648.347	335.797
648.475	329.797
648.603	335.847
648.731	334.797
648.860	330.534
648.988	331.746
649.116	336.008
649.244	329.008
649.372	331.322
649.500	332.822
649.628	331.983
649.756	334.441
649.885	331.288
650.013	324.364
650.141	329.754
650.269	330.178
650.397	327.364
650.525	324.661
650.653	328.534
650.781	320.449
650.910	323.932
651.038	323.169
651.166	323.432
651.294	324.576
651.422	323.314
651.550	317.958
651.678	315.347
651.806	314.246
651.935	319.042
652.063	319.424
652.191	316.686
652.319	316.822
652.447	322.627
652.575	315.203
652.703	315.898
652.831	313.415
652.960	312.059
653.088	311.169
653.216	309.737
653.344	315.110
653.472	313.347
653.600	311.195
653.728	308.746
653.856	308.822
653.985	311.237
654.113	307.475
654.241	312.424
654.369	307.847
654.497	307.161
654.625	308.042
654.753	307.771
654.881	306.822
655.010	307.186
655.138	304.771
655.266	306.695
655.394	301.068
655.522	302.492
655.650	300.424
655.778	303.636
655.906	304.551
656.035	302.831
656.163	299.280
656.291	301.000
656.419	299.695
656.547	300.627
656.675	296.576
656.803	299.983
656.931	299.085
657.060	301.915
657.188	295.144
657.316	297.246
657.444	297.042
657.572	298.636
657.700	294.814
657.828	298.754
657.956	295.424
658.085	295.576
658.213	294.517
658.341	291.737
658.469	291.136
658.597	293.297
658.725	294.703
658.853	289.186
658.981	288.627
659.110	292.746
659.238	288.975
659.366	290.085
659.494	287.331
659.622	287.110
659.750	291.144
659.878	290.542
660.006	287.373
660.135	287.966
660.263	284.347
660.391	283.814
660.519	287.780
660.647	283.153
660.775	285.492
660.903	285.754
661.031	285.051
661.160	281.034
661.288	282.525
661.416	286.364
661.544	284.466
661.672	281.432
661.800	285.356
661.928	283.415
662.056	279.483
662.185	280.186
662.313	281.153
662.441	278.407
662.569	277.780
662.697	280.805
662.825	281.271
662.953	279.424
663.081	279.178
663.210	280.356
663.338	278.161
663.466	278.415
663.594	278.025
663.722	274.475
663.850	274.754
663.978	275.475
664.106	277.797
664.235	275.949
664.363	276.356
664.491	274.712
664.619	273.610
664.747	274.890
664.875	274.864
665.003	275.441
665.131	274.483
665.260	274.347
665.388	272.983
665.516	271.390
665.644	273.644
665.772	271.746
665.900	271.746
666.028	272.017
666.156	272.822
666.285	270.127
666.413	271.932
666.541	273.432
666.669	266.890
666.797	267.000
666.925	268.695
667.053	269.958
667.181	267.729
667.310	267.203
667.438	268.661
667.566	266.915
667.694	266.856
667.822	267.593
667.950	265.051
668.078	264.559
668.206	266.864
668.335	265.280
668.463	266.695
668.591	267.051
668.719	264.059
668.847	261.271
668.975	262.788
669.103	262.500
669.231	261.347
669.360	260.229
669.488	260.415
669.616	262.034
669.744	261.754
669.872	259.805
670.000	262.297
670.128	262.237
670.256	258.364
670.385	257.737
670.513	263.949
670.641	256.737
670.769	258.144
670.897	256.864
671.025	258.000
671.153	259.017
671.281	258.475
671.410	252.449
671.538	252.720
671.666	255.373
671.794	255.161
671.922	254.653
672.050	251.381
672.178	253.119
672.306	251.720
672.435	252.314
672.563	255.347
672.691	253.017
672.819	250.678
672.947	250.475
673.075	249.602
673.203	246.746
673.331	250.644
673.460	250.305
673.588	250.000
673.716	249.136
673.844	246.475
673.972	248.966
674.100	250.017
674.228	246.805
674.356	245.271
674.485	244.475
674.613	244.008
674.741	242.771
674.869	241.398
674.997	241.390
675.125	240.551
675.253	243.051
675.381	239.517
675.510	241.042
675.638	243.102
675.766	240.619
675.894	238.186
676.022	239.119
676.150	237.102
676.278	239.025
676.406	239.678
676.535	235.627
676.663	233.237
676.791	232.958
676.919	236.898
677.047	232.068
677.175	230.907
677.303	234.059
677.431	233.559
677.560	227.153
677.688	234.322
677.816	233.424
677.944	234.000
678.072	229.186
678.200	231.508
678.328	227.780
678.456	230.000
678.585	227.229
678.713	227.017
678.841	227.686
678.969	224.169
679.097	230.576
679.225	225.381
679.353	227.661
679.481	225.475
679.610	226.915
679.738	223.051
679.866	224.568
679.994	226.373
680.122	225.415
680.250	223.839
680.378	222.720
680.506	222.093
680.635	220.322
680.763	222.432
680.891	221.051
681.019	223.178
681.147	220.186
681.275	216.992
681.403	222.983
681.531	217.737
681.660	220.203
681.788	218.432
681.916	214.432
682.044	219.678
682.172	217.720
682.300	217.780
682.428	221.551
682.556	216.119
682.685	217.356
682.813	217.661
682.941	216.339
683.069	218.525
683.197	216.059
683.325	215.797
683.453	213.941
683.581	215.110
683.710	214.992
683.838	214.424
683.966	214.941
684.094	215.424
684.222	212.144
684.350	213.932
684.478	214.788
684.606	213.924
684.735	213.966
684.863	211.593
684.991	209.220
685.119	210.805
685.247	211.153
685.375	209.508
685.503	213.347
685.631	211.415
685.760	210.754
685.888	212.559
686.016	211.432
686.144	212.186
686.272	208.703
686.400	208.653
686.528	204.169
686.656	210.110
686.785	207.890
686.913	211.500
687.041	206.364
687.169	208.025
687.297	206.441
687.425	205.475
687.553	206.966
687.681	207.898
687.810	208.703
687.938	203.525
688.066	206.695
688.194	205.661
688.322	207.288
688.450	204.475
688.578	207.085
688.706	204.534
688.835	204.653
688.963	202.636
689.091	203.390
689.219	203.195
689.347	203.441
689.475	205.017
689.603	203.034
689.731	204.678
689.860	202.025
689.988	200.856
690.116	200.669
690.244	202.907
690.372	200.110
690.500	199.856
690.628	199.297
690.756	199.339
690.885	198.669
691.013	200.407
691.141	198.390
691.269	200.703
691.397	203.627
691.525	200.983
691.653	200.381
691.781	199.703
691.910	197.492
692.038	200.305
692.166	199.237
692.294	198.449
692.422	199.458
692.550	195.881
692.678	199.288
692.806	198.669
692.935	197.771
693.063	196.339
693.191	195.619
693.319	194.585
693.447	194.559
693.575	194.271
693.703	194.161
693.831	193.492
693.960	192.576
694.088	194.432
694.216	196.585
694.344	192.949
694.472	196.602
694.600	191.822
694.728	192.415
694.856	193.161
694.985	193.153
695.113	190.669
695.241	190.288
695.369	189.983
695.497	191.729
695.625	191.924
695.753	193.678
695.881	189.068
696.010	188.932
696.138	190.602
696.266	189.381
696.394	188.424
696.522	189.068
696.650	189.110
696.778	183.466
696.906	188.407
697.035	187.627
697.163	184.864
697.291	186.754
697.419	188.051
697.547	186.254
697.675	184.754
697.803	185.542
697.931	183.331
698.060	186.737
698.188	187.119
698.316	186.839
698.444	183.169
698.572	183.627
698.700	184.992
698.828	182.534
698.956	180.237
699.085	180.619
699.213	180.712
699.341	180.475
699.469	180.551
699.597	184.695
699.725	183.644
699.853	177.983
699.981	180.068
700.110	181.576
700.238	179.492
700.366	177.881
700.494	177.831
700.622	180.686
700.750	180.161
700.878	179.034
701.006	177.907
701.135	178.441
701.263	176.525
701.391	177.220
701.519	175.703
701.647	177.856
701.775	178.059
701.903	175.381
702.031	178.347
702.160	177.839
702.288	176.153
702.416	173.636
702.544	175.924
702.672	174.763
702.800	173.186
702.928	174.788
703.056	175.924
703.185	174.763
703.313	172.712
703.441	174.441
703.569	174.008
703.697	173.847
703.825	172.314
703.953	173.602
704.081	171.932
704.210	171.381
704.338	171.466
704.466	169.076
704.594	169.746
704.722	170.271
704.850	169.636
704.978	172.492
705.106	168.975
705.235	170.924
705.363	168.246
705.491	170.992
705.619	171.975
705.747	167.907
705.875	169.593
706.003	167.186
706.131	168.678
706.260	169.203
706.388	168.161
706.516	165.441
706.644	167.754
706.772	166.627
706.900	164.644
707.028	164.949
707.156	166.653
707.285	165.610
707.413	167.653
707.541	162.373
707.669	166.873
707.797	164.449
707.925	164.458
708.053	162.619
708.181	164.593
708.310	162.966
708.438	163.161
708.566	161.110
708.694	162.424
708.822	161.356
708.950	164.746
709.078	161.449
709.206	161.695
709.335	159.525
709.463	160.873
709.591	159.017
709.719	159.373
709.847	159.975
709.975	160.102
710.103	159.271
710.231	159.042
710.360	158.992
710.488	158.110
710.616	157.364
710.744	156.695
710.872	159.017
711.000	157.119
711.128	155.831
711.256	157.432
711.385	158.119
711.513	155.203
711.641	159.712
711.769	157.127
711.897	155.186
712.025	155.712
712.153	155.992
712.281	155.729
712.410	155.602
712.538	156.627
712.666	153.161
712.794	155.585
712.922	156.322
713.050	152.458
713.178	154.042
713.306	152.424
713.435	153.466
713.563	152.085
713.691	153.932
713.819	155.398
713.947	150.305
714.075	152.678
714.203	153.585
714.331	153.653
714.460	152.186
714.588	154.017
714.716	150.975
714.844	152.102
714.972	148.864
715.100	150.305
715.228	152.610
715.356	151.924
715.485	154.364
715.613	149.941
715.741	148.797
715.869	148.932
715.997	152.093
716.125	147.907
716.253	148.000
716.381	150.381
716.510	152.085
716.638	148.212
716.766	149.017
716.894	147.983
717.022	149.008
717.150	148.763
717.278	148.051
717.406	148.339
717.535	148.847
717.663	149.008
717.791	147.788
717.919	147.788
718.047	146.288
718.175	149.585
718.303	148.381
718.431	146.907
718.560	145.017
718.688	147.263
718.816	147.229
718.944	145.398
719.072	145.364
719.200	147.051
719.328	144.754
719.456	146.958
719.585	144.839
719.713	144.966
719.841	145.102
719.969	144.339
720.097	145.932
720.225	143.831
720.353	143.237
720.481	145.517
720.610	146.398
720.738	142.458
720.866	145.068
720.994	142.229
721.122	142.898
721.250	142.856
721.378	145.237
721.506	143.237
721.635	144.475
721.763	142.983
721.891	142.678
722.019	141.949
722.147	141.381
722.275	141.780
722.403	142.212
722.531	142.449
722.660	141.000
722.788	142.254
722.916	143.500
723.044	141.373
723.172	141.839
723.300	140.805
723.428	138.712
723.556	138.500
723.685	140.627
723.813	141.508
723.941	136.805
724.069	142.483
724.197	138.551
724.325	137.958
724.453	138.754
724.581	137.441
724.710	139.754
724.838	140.949
724.966	139.110
725.094	138.254
725.222	136.602
725.350	135.305
725.478	137.203
725.606	137.042
725.735	138.466
725.863	136.864
725.991	137.314
726.119	134.288
726.247	135.398
726.375	134.932
726.503	139.712
726.631	136.178
726.760	134.398
726.888	133.339
727.016	134.797
727.144	137.568
727.272	136.263
727.400	133.754
727.528	134.229
727.656	135.534
727.785	136.364
727.913	134.373
728.041	134.314
728.169	134.839
728.297	132.500
728.425	133.381
728.553	133.627
728.681	134.669
728.810	131.466
728.938	134.110
729.066	132.924
729.194	133.805
729.322	134.636
729.450	133.085
729.578	133.153
729.706	132.178
729.835	130.339
729.963	135.373
730.091	134.390
730.219	131.153
730.347	130.593
730.475	131.949
730.603	133.220
730.731	131.627
730.860	129.873
730.988	132.492
731.116	130.839
731.244	131.347
731.372	130.331
731.500	129.585
731.628	130.890
731.756	131.136
731.885	129.831
732.013	127.178
